"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-82252-milpkf3im9kwe2_tn.webp","https://shopee.co.id/sepeda-listrik-mtb-elektrik-lankeleisi-400watt-44kmjam-lithium-i.48358453.22712945867","Sepeda listrik MTB Elektrik Lankeleisi 400watt 44Km/jam Lithium","Juragan murah","Rp 3.058.000","Rp 15.290.000","5","Rp 0","0","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7qukx-lk7ztrxxmpzvef_tn.webp","https://shopee.co.id/paket-rakitan-sepeda-fixie-classic-700c-edisi-jayjo-i.136812415.21091685294","Paket Rakitan Sepeda Fixie Classic 700c Edisi Jayjo","Nosabike","Rp 3.500.000","Rp 360.500.000","103","Rp 7.000.000","2","4.78"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lx96za14g4dq99_tn.webp","https://shopee.co.id/lankeleisi-g660-luxury-edition-sepeda-lipat-sepeda-listrik-bukan-deluxe-lite-edition-smart-elektrik-48v-104-ah-new-i.126227593.19002764716","Lankeleisi G660 Luxury Edition, Sepeda Lipat, Sepeda Listrik,  Bukan Deluxe Lite Edition Smart Elektrik 48V 10.4 Ah New","djiwatronik","Rp 9.999.000","Rp 0","0","Rp 0","0","0.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/bdcf98d2ad477bcbd015e39c0d90b273_tn.webp","https://shopee.co.id/sepeda-mtb-elektrik-listrik-lipat-fat-tires-48v-10ah-1000w-lankeleisi-xt750-plus-i.81420635.13714663917","Sepeda MTB Elektrik Listrik Lipat Fat Tires 48V 10AH 1000W Lankeleisi XT750 Plus","rizky shop27","Rp 17.250.000","Rp 17.250.000","1","Rp 0","0","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98t-ll5xbrrnm75733_tn.webp","https://shopee.co.id/spare-part-dynamo-velg-sepeda-lankeleisi-rs600-36v-400w-hitam-alloy-i.55734964.13099153101","Spare Part Dynamo Velg Sepeda Lankeleisi RS600 36V 400W Hitam Alloy","JLS.Market","Rp 15.750.000","Rp 15.750.000","1","Rp 0","0","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rask-m0tq1b6l5njyb0_tn.webp","https://shopee.co.id/lankeleisi-xt750-elite-folding-e-bike-48v-30kmh-i.55734964.11929120034","Lankeleisi XT750 Elite Folding E-Bike 48V 30km/h","JLS.Market","Rp 11.295.000","Rp 440.505.000","39","Rp 11.295.000","1","4.90"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/2c8ef55849372f8c8f4ab0bf9c163ca6_tn.webp","https://shopee.co.id/sepeda-listrik-lipat-fiido-d1-14inch-foldable-hybrid-bike-electric-i.316189616.11028860906","Sepeda Listrik Lipat Fiido D1 14Inch Foldable Hybrid Bike Electric","Mobile Gadget Tech","Rp 8.990.000","Rp 0","0","Rp 0","0","0.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98w-lzvf8d2pmqdk88_tn.webp","https://shopee.co.id/lankeleisi-g660-sepeda-lipat-hybrid-48v-104ah-i.55734964.10829166386","Lankeleisi G660 Sepeda Lipat Hybrid 48V 10.4Ah","JLS.Market","Rp 10.145.000","Rp 598.555.000","59","Rp 20.290.000","2","4.95"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/b99b5d660986b11720a83453321427d4_tn.webp","https://shopee.co.id/lankeleisi-xt750-plus-fat-bike-48v-10ah-hybrid-i.55734964.10528939159","Lankeleisi XT750 Plus Fat Bike 48V 10Ah Hybrid","JLS.Market","Rp 131.750.000","Rp 1.054.000.000","8","Rp 131.750.000","1","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/88d3bf8b25735b06f8e55706c5026c95_tn.webp","https://shopee.co.id/lankeleisi-xt600-folding-bike-48v-104ah-hybrid-i.55734964.10429231963","Lankeleisi XT600 Folding Bike 48V 10.4AH Hybrid","JLS.Market","Rp 10.475.000","Rp 146.650.000","14","Rp 0","0","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-23010-6ia86k9oybmv4a_tn.webp","https://shopee.co.id/sepeda-elektrik-sepeda-listrik-lipat-folding-bike-smart-moped-luxury-edition-48v-10ah-warna-g300-lankeleisi-i.55734964.10229241020","Sepeda Elektrik Sepeda Listrik Lipat Folding Bike Smart Moped Luxury Edition 48V 10Ah Warna G300 Lankeleisi","JLS.Market","Rp 84.950.000","Rp 2.123.750.000","25","Rp 0","0","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasm-m0tpcojcnktze3_tn.webp","https://shopee.co.id/lankeleisi-sepeda-listrik-lipat-folding-bike-elite-version-48v-104ah-xt750-i.278093415.9211558037","Lankeleisi Sepeda Listrik Lipat Folding Bike Elite Version 48V 10.4Ah - XT750","Galaxy Starmart","Rp 11.509.100","Rp 80.563.700","7","Rp 11.509.100","1","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224r-mgg8utn82qrxce_tn.webp","https://shopee.co.id/living-sepeda-lipat-1820-inch-anak-dewasa-7-speed-i.399327793.8672915204","LiVing Sepeda Lipat 18/20 Inch Anak Dewasa 7 Speed","Living Tech Indonesia","Rp 1.138.500","Rp 64.894.500","57","Rp 1.138.500","1","4.86"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztl-mfi3ak13nj7z64_tn.webp","https://shopee.co.id/sepeda-listrik-bmx-selis-uk-20-inch-siap-gass-pool-i.124756728.8662301806","Sepeda listrik BMX Selis UK 20 Inch Siap Gass Pool","KutubbikeStore","Rp 3.500.000","Rp 14.000.000","4","Rp 3.500.000","1","4.00"
