"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasa-m4b9ycrgbsmia8_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-veloce-v7-500w-25kmh-i.101726601.20384856022","Sepeda Listrik Exotic Veloce V7 500W 25Km/h","SENTRA BIKE","Rp 3.599.000","Rp 3.599.000.000","1.000","Rp 352.702.000","98","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224t-mguce5cld3ijf0_tn.webp","https://shopee.co.id/sepeda-listrik-goda-40kmjam-500w-800w-smart-seat-i.1025180249.27670966946","Sepeda Listrik Goda 40km/jam 500W-800W Smart Seat","Pramudya E-Bike","Rp 3.000.000","Rp 3.000.000.000","1.000","Rp 429.000.000","143","4.86"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ras9-m3r6yzvg8zx698_tn.webp","https://shopee.co.id/geekman-sepeda-listrik-dewasa-200kg-45kmjam-i.1000966183.22274211577","Geekman Sepeda Listrik Dewasa 200kg 45km/jam","GEEKMAN","Rp 7.598.000","Rp 45.588.000.000","6.000","Rp 7.598.000","1","4.75"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk4-ma9koggv36565d_tn.webp","https://shopee.co.id/sepeda-listrik-d60-sla-450w-33kmjam-45km-jarak-tempuh-i.625023362.28606791307","Sepeda Listrik D60 SLA 450W 33Km/Jam 45Km Jarak Tempuh","Makmur Bike","Rp 3.399.999","Rp 2.131.799.373","627","Rp 3.399.999","1","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224u-miwpucjfl9tu25_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-v3-500w-ventura-m2-650w-i.469503862.19393967137","Sepeda Listrik Exotic V3 500W Ventura M2 650W","MURAH_CUAN","Rp 3.335.000","Rp 3.335.000.000","1.000","Rp 126.730.000","38","4.82"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224y-mg9198bv9gr22c_tn.webp","https://shopee.co.id/sepeda-listrik-u-winfly-d66a-d65-d65adv-d75-d60-gd-005-troy-i.1387108631.25287367288","Sepeda Listrik U-Winfly D66A / D65 / D65ADV / D75 / D60 / GD 005 TROY","EVMart Madiun","Rp 3.465.000","Rp 6.930.000.000","2.000","Rp 297.990.000","86","4.88"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztc-mdzmk8zwwa9z49_tn.webp","https://shopee.co.id/promo-sepeda-listrik-goda-lemonneotroyhero-anti-air-kuat-di-tanjakan-i.793893007.16582704746","Promo Sepeda Listrik Goda Lemon/Neo/Troy/Hero Anti Air Kuat Di Tanjakan","Ebike Jabar","Rp 3.099.000","Rp 1.224.105.000","395","Rp 77.475.000","25","4.92"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224x-mgeshq2gkrgu93_tn.webp","https://shopee.co.id/promo-sepeda-listrik-uwinfly-d66ad66bd65advd75-anti-air-kuat-di-tanjakan-i.793893007.20736391170","Promo Sepeda Listrik Uwinfly D66A/D66B/D65ADV/D75 Anti Air Kuat Di Tanjakan","Ebike Jabar","Rp 3.199.000","Rp 924.511.000","289","Rp 35.189.000","11","4.89"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224p-mgq030dl3uvd97_tn.webp","https://shopee.co.id/sepeda-listrik-nuv-floppy-s3-850w-bergaransi-i.467381274.18791387371","Sepeda Listrik Nuv Floppy S3 850W Bergaransi","Mandiri Bike","Rp 3.335.000","Rp 2.864.765.000","859","Rp 66.700.000","20","4.82"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zte-mf7vowxv64nced_tn.webp","https://shopee.co.id/sepeda-listrik-dewasa-48v-12ah-30-45kmh-i.1025550444.20091767828","Sepeda Listrik Dewasa 48V 12Ah 30-45KM/H","Dreamland Mart","Rp 2.748.997","Rp 5.497.994.000","2.000","Rp 104.461.886","38","4.72"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk3-m7g6h7iohvv907_tn.webp","https://shopee.co.id/e-buy-kendaraan-listrik-mewah-kelas-atas-35kmh-sepeda-listrik-mesin-berkecepatan-tinggi-500w-berdaya-tinggi-i.839238869.20833791688","e-Buy - Kendaraan Listrik Mewah Kelas Atas 35KM/H / Sepeda Listrik / Mesin Berkecepatan Tinggi 500W Berdaya Tinggi","EBUY Official Store","Rp 1.975.049","Rp 3.950.098.000","2.000","Rp 100.727.499","51","4.60"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ras9-m2czbd7374cjd8_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-x610-x650-ev-922-ev-928-free-helm-i.134271039.23665576280","Sepeda Listrik Exotic X610 X650 EV-922 EV-928 Free Helm","intelegency toys","Rp 3.135.000","Rp 6.270.000.000","2.000","Rp 3.135.000","1","4.84"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0k-mcu7ii4mtinp92_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-v1-v3-922bx-928-500watt-lcd-spedometer-bergaransi-resmi-i.469503862.25714204368","Sepeda Listrik EXOTIC V1 V3 922BX 928 500Watt, LCD SPEDOMETER Bergaransi Resmi","MURAH_CUAN","Rp 3.635.000","Rp 2.508.150.000","690","Rp 21.810.000","6","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224o-mjnntsj97ax1b8_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-varilux-pro-650w-nfc-i.467381274.25316941375","Sepeda Listrik Exotic Varilux Pro 650W NFC","Mandiri Bike","Rp 3.335.000","Rp 2.584.625.000","775","Rp 66.700.000","20","4.75"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224u-miczsil3c16ob2_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-verilux-pro-48v-55km-i.27533547.12941088111","Sepeda Listrik Exotic Verilux Pro 48V 55km","eBike_Jawa_Tengah","Rp 2.999.000","Rp 2.999.000.000","1.000","Rp 113.962.000","38","4.90"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224z-mfuj87k9e68ae9_tn.webp","https://shopee.co.id/sepeda-listrik-uwinfly-d60-adv-500w-4-baterai-i.900827346.25471196242","Sepeda Listrik Uwinfly D60 Adv 500W 4 Baterai","MJ.BIKE Store","Rp 3.800.000","Rp 2.549.800.000","671","Rp 7.600.000","2","4.78"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbka-m93ssaffpr4i3c_tn.webp","https://shopee.co.id/geekman-sepeda-listrik-dewasa-sepeda-motor-listrik-48v-12ah-sepeda-listrik-dengan-peda-i.1063866610.24712389331","Geekman Sepeda Listrik Dewasa Sepeda Motor Listrik 48v 12ah Sepeda Listrik Dengan Peda","WOLF Sepeda Listrik","Rp 9.990.000","Rp 19.980.000.000","2.000","Rp 9.990.000","1","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk7-mav45r9frypk88_tn.webp","https://shopee.co.id/ready-stock-sepeda-listrik-uwinfly-d75-d66a-600w-mewah-aman-hujan-i.1090030042.27709626818","READY STOCK Sepeda Listrik Uwinfly D75 D66A 600W Mewah Aman Hujan","BINTANG KOMUNIKA OFFICIAL","Rp 3.889.000","Rp 910.026.000","234","Rp 11.667.000","3","4.92"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0m-mc396342bxht88_tn.webp","https://shopee.co.id/excotic-x-665-e-bike-500w-40km-range-i.467381274.26673778121","Excotic X 665 E-Bike 500W 40Km Range","Mandiri Bike","Rp 3.335.000","Rp 1.323.995.000","397","Rp 20.010.000","6","4.85"
